,0
0,North Dakota
1,Michigan
2,New York
3,New Hampshire
4,Wisconsin
5,Utah
6,Pennsylvania
7,Minnesota
8,Kansas
9,Kentucky
10,Maryland
11,Rhode Island
12,Nebraska
13,Virginia
14,Florida
15,Mississippi
16,South Dakota
17,Montana
18,Nevada
19,Alaska
20,Georgia
21,Connecticut
22,Wyoming
23,Colorado
24,New Mexico
25,Delaware
26,Arkansas
27,North Carolina
28,Vermont
29,West Virginia
30,Idaho
31,Alabama
32,Illinois
33,South Carolina
34,Massachusetts
35,Hawaii
36,New Jersey
37,Louisiana
38,Iowa
39,Tennessee
40,Indiana
41,Oregon
42,Oklahoma
43,Maine
