,0
0,Arkansas
1,Wyoming
2,Nebraska
3,Mississippi
4,South Dakota
5,North Dakota
6,Kansas
7,Georgia
8,Iowa
9,Oklahoma
10,Louisiana
11,Nevada
12,Missouri
13,Connecticut
14,Minnesota
15,Colorado
16,Illinois
17,Wisconsin
18,Tennessee
19,Virginia
20,Maryland
21,Massachusetts
22,Montana
23,North Carolina
24,Alaska
25,Idaho
26,Vermont
27,West Virginia
28,New Jersey
29,Kentucky
30,Indiana
31,Michigan
32,Rhode Island
33,South Carolina
34,Utah
35,Delaware
36,Alabama
37,Hawaii
38,Maine
39,New Hampshire
40,Pennsylvania
