,0
0,New York
1,North Dakota
2,North Carolina
3,Georgia
4,Indiana
5,Massachusetts
6,New Hampshire
7,Arizona
8,Hawaii
9,Missouri
10,West Virginia
11,Vermont
12,Illinois
13,Maine
14,New Mexico
15,Wisconsin
16,Michigan
17,Kansas
18,Mississippi
19,Connecticut
20,Rhode Island
21,Pennsylvania
22,Utah
23,Alaska
24,New Jersey
25,Iowa
26,Arkansas
27,Idaho
28,Oregon
29,Tennessee
30,Louisiana
31,Maryland
32,Kentucky
33,Wyoming
34,Nevada
35,Colorado
36,California
37,Montana
38,Delaware
39,Alabama
40,Washington
41,Oklahoma
42,Nebraska
43,Virginia
44,Minnesota
45,South Carolina
46,South Dakota
